Title,Author
Haplos Damdamin,Jason Dhakal
Tingin Kuwento,Jason Dhakal
Pintig Kulay,Jason Dhakal
Lakad Sulyap,Jason Dhakal
Himig Sana,Jason Dhakal
Hangin Sinta,Jason Dhakal
Lihim Pag-ibig,Jason Dhakal
Tamis Layo,Keiko Necesario
Balik Alaala,Keiko Necesario
Bitaw Saan,Keiko Necesario
Tayo Nawala,Keiko Necesario
Sabay Alon,Keiko Necesario
Talao Sulyap,Keiko Necesario
Sigaw Tahimik,Keiko Necesario
Lapis Kulay,Keiko Necesario
Tulay Takipsilim,Keiko Necesario
Sulyap Sigaw,SURU
Buwan Gabi,SURU
Tala Araw,SURU
Haplos Damdamin,SURU
Tingin Kuwento,SURU
Pintig Kulay,SURU
Lakad Sulyap,SURU
Himig Sana,SURU
Hangin Sinta,SURU
Lihim Pag-ibig,SURU
Tamis Layo,Juan Miguel
Balik Alaala,Juan Miguel
Bitaw Saan,Juan Miguel
Tayo Nawala,Juan Miguel
Sabay Alon,Juan Miguel
Talao Sulyap,Juan Miguel
Sigaw Tahimik,Juan Miguel
Lapis Kulay,Juan Miguel
Tulay Takipsilim,Juan Miguel
Sulyap Sigaw,The Itchyworms
Buwan Gabi,The Itchyworms
Tala Araw,The Itchyworms
Haplos Damdamin,The Itchyworms
Tingin Kuwento,The Itchyworms
Pintig Kulay,The Itchyworms
Lakad Sulyap,The Itchyworms
Himig Sana,The Itchyworms
Hangin Sinta,The Itchyworms
Lihim Pag-ibig,The Itchyworms
Tamis Layo,IV of Spades (feat)
Balik Alaala,IV of Spades (feat)
Bitaw Saan,IV of Spades (feat)
Tayo Nawala,IV of Spades (feat)
Sabay Alon,IV of Spades (feat)
Talao Sulyap,IV of Spades (feat)
Sigaw Tahimik,IV of Spades (feat)
Lapis Kulay,IV of Spades (feat)
Tulay Takipsilim,IV of Spades (feat)
Sulyap Sigaw,December Avenue (Acoustic)
Buwan Gabi,December Avenue (Acoustic)
Tala Araw,December Avenue (Acoustic)
Haplos Damdamin,December Avenue (Acoustic)
Tingin Kuwento,December Avenue (Acoustic)
Pintig Kulay,December Avenue (Acoustic)
Lakad Sulyap,December Avenue (Acoustic)
Himig Sana,December Avenue (Acoustic)
Hangin Sinta,December Avenue (Acoustic)
Lihim Pag-ibig,December Avenue (Acoustic)
Tamis Layo,Unique Salonga (Solo)
Balik Alaala,Unique Salonga (Solo)
Bitaw Saan,Unique Salonga (Solo)
Tayo Nawala,Unique Salonga (Solo)
Sabay Alon,Unique Salonga (Solo)
Talao Sulyap,Unique Salonga (Solo)
Sigaw Tahimik,Unique Salonga (Solo)
Lapis Kulay,Unique Salonga (Solo)
Tulay Takipsilim,Unique Salonga (Solo)
Sulyap Sigaw,Zild
Buwan Gabi,Zild
Tala Araw,Zild
Haplos Damdamin,Zild
Tingin Kuwento,Zild
Pintig Kulay,Zild
Lakad Sulyap,Zild
Himig Sana,Zild
Hangin Sinta,Zild
Lihim Pag-ibig,Zild
Tamis Layo,Sud
Balik Alaala,Sud
Bitaw Saan,Sud
Tayo Nawala,Sud
Sabay Alon,Sud
Talao Sulyap,Sud
Sigaw Tahimik,Sud
Lapis Kulay,Sud
Tulay Takipsilim,Sud
Sulyap Sigaw,Ben&Ben Acoustic
Buwan Gabi,Ben&Ben Acoustic
Tala Araw,Ben&Ben Acoustic
Haplos Damdamin,Ben&Ben Acoustic
Tingin Kuwento,Ben&Ben Acoustic
Pintig Kulay,Ben&Ben Acoustic
Lakad Sulyap,Ben&Ben Acoustic
Himig Sana,Ben&Ben Acoustic
Hangin Sinta,Ben&Ben Acoustic
Lihim Pag-ibig,Ben&Ben Acoustic
Tamis Layo,IV of Spades (feat)
Balik Alaala,IV of Spades (feat)
Bitaw Saan,IV of Spades (feat)
Tayo Nawala,IV of Spades (feat)
Sabay Alon,IV of Spades (feat)
Talao Sulyap,IV of Spades (feat)
Sigaw Tahimik,IV of Spades (feat)
Lapis Kulay,IV of Spades (feat)
Tulay Takipsilim,IV of Spades (feat)
Sulyap Sigaw,Gyro
Buwan Gabi,Gyro
Tala Araw,Gyro
Haplos Damdamin,Gyro
Tingin Kuwento,Gyro
Pintig Kulay,Gyro
Lakad Sulyap,Gyro
Himig Sana,Gyro
Hangin Sinta,Gyro
Lihim Pag-ibig,Gyro
Tamis Layo,Neocolours
Balik Alaala,Neocolours
Bitaw Saan,Neocolours
Tayo Nawala,Neocolours
Sabay Alon,Neocolours
Talao Sulyap,Neocolours
Sigaw Tahimik,Neocolours
Lapis Kulay,Neocolours
Tulay Takipsilim,Neocolours
Sulyap Sigaw,Sponge Cola
Buwan Gabi,Sponge Cola
Tala Araw,Sponge Cola
Haplos Damdamin,Sponge Cola
Tingin Kuwento,Sponge Cola
Pintig Kulay,Sponge Cola
Lakad Sulyap,Sponge Cola
Himig Sana,Sponge Cola
Hangin Sinta,Sponge Cola
Lihim Pag-ibig,Sponge Cola
Tamis Layo,Ebe Dancel
Balik Alaala,Ebe Dancel
Bitaw Saan,Ebe Dancel
Tayo Nawala,Ebe Dancel
Sabay Alon,Ebe Dancel
Talao Sulyap,Ebe Dancel
Sigaw Tahimik,Ebe Dancel
Lapis Kulay,Ebe Dancel
Tulay Takipsilim,Ebe Dancel
Sulyap Sigaw,Levi's Band
Buwan Gabi,Levi's Band
Tala Araw,Levi's Band
Haplos Damdamin,Levi's Band
Tingin Kuwento,Levi's Band
Pintig Kulay,Levi's Band
Lakad Sulyap,Levi's Band
Himig Sana,Levi's Band
Hangin Sinta,Levi's Band
Lihim Pag-ibig,Levi's Band
Tamis Layo,Morissette
Balik Alaala,Morissette
Bitaw Saan,Morissette
Tayo Nawala,Morissette
Sabay Alon,Morissette
Talao Sulyap,Morissette
Sigaw Tahimik,Morissette
Lapis Kulay,Morissette
Tulay Takipsilim,Morissette
Sulyap Sigaw,Jason Dhakal
Buwan Gabi,Jason Dhakal
Tala Araw,Jason Dhakal
Haplos Damdamin,Jason Dhakal
Tingin Kuwento,Jason Dhakal
Pintig Kulay,Jason Dhakal
Lakad Sulyap,Jason Dhakal
Himig Sana,Jason Dhakal
Hangin Sinta,Jason Dhakal
Lihim Pag-ibig,Jason Dhakal
Tamis Layo,Keiko Necesario
Balik Alaala,Keiko Necesario
Bitaw Saan,Keiko Necesario
Tayo Nawala,Keiko Necesario
Sabay Alon,Keiko Necesario
Talao Sulyap,Keiko Necesario
Sigaw Tahimik,Keiko Necesario
Lapis Kulay,Keiko Necesario
Tulay Takipsilim,Keiko Necesario
Sulyap Sigaw,SURU
Buwan Gabi,SURU
Tala Araw,SURU
Haplos Damdamin,SURU
Tingin Kuwento,SURU
Pintig Kulay,SURU
Lakad Sulyap,SURU
Himig Sana,SURU
Hangin Sinta,SURU
Lihim Pag-ibig,SURU
Tamis Layo,Juan Miguel
Balik Alaala,Juan Miguel
Bitaw Saan,Juan Miguel
Tayo Nawala,Juan Miguel
Sabay Alon,Juan Miguel
Talao Sulyap,Juan Miguel
Sigaw Tahimik,Juan Miguel
Lapis Kulay,Juan Miguel
Tulay Takipsilim,Juan Miguel
Sulyap Sigaw,The Itchyworms
Buwan Gabi,The Itchyworms
Tala Araw,The Itchyworms
Haplos Damdamin,The Itchyworms
Tingin Kuwento,The Itchyworms
Pintig Kulay,The Itchyworms
Lakad Sulyap,The Itchyworms
Himig Sana,The Itchyworms
Hangin Sinta,The Itchyworms
Lihim Pag-ibig,The Itchyworms
Tamis Layo,IV of Spades (feat)
Balik Alaala,IV of Spades (feat)
Bitaw Saan,IV of Spades (feat)
Tayo Nawala,IV of Spades (feat)
Sabay Alon,IV of Spades (feat)
Talao Sulyap,IV of Spades (feat)
Sigaw Tahimik,IV of Spades (feat)
Lapis Kulay,IV of Spades (feat)
Tulay Takipsilim,IV of Spades (feat)
Sulyap Sigaw,December Avenue (Acoustic)
Buwan Gabi,December Avenue (Acoustic)
Tala Araw,December Avenue (Acoustic)
Haplos Damdamin,December Avenue (Acoustic)
Tingin Kuwento,December Avenue (Acoustic)
Pintig Kulay,December Avenue (Acoustic)
Lakad Sulyap,December Avenue (Acoustic)
Himig Sana,December Avenue (Acoustic)
Hangin Sinta,December Avenue (Acoustic)
Lihim Pag-ibig,December Avenue (Acoustic)
Tamis Layo,Unique Salonga (Solo)
Balik Alaala,Unique Salonga (Solo)
Bitaw Saan,Unique Salonga (Solo)
Tayo Nawala,Unique Salonga (Solo)
Sabay Alon,Unique Salonga (Solo)
Talao Sulyap,Unique Salonga (Solo)
Sigaw Tahimik,Unique Salonga (Solo)
Lapis Kulay,Unique Salonga (Solo)
Tulay Takipsilim,Unique Salonga (Solo)
Sulyap Sigaw,Zild
Buwan Gabi,Zild
Tala Araw,Zild
Haplos Damdamin,Zild
Tingin Kuwento,Zild
Pintig Kulay,Zild
Lakad Sulyap,Zild
Himig Sana,Zild
Hangin Sinta,Zild
Lihim Pag-ibig,Zild
Tamis Layo,Sud
Balik Alaala,Sud
Bitaw Saan,Sud
Tayo Nawala,Sud
Sabay Alon,Sud
Talao Sulyap,Sud
Sigaw Tahimik,Sud
Lapis Kulay,Sud
Tulay Takipsilim,Sud
Sulyap Sigaw,Ben&Ben Acoustic
Buwan Gabi,Ben&Ben Acoustic
Tala Araw,Ben&Ben Acoustic
Haplos Damdamin,Ben&Ben Acoustic
Tingin Kuwento,Ben&Ben Acoustic
Pintig Kulay,Ben&Ben Acoustic
Lakad Sulyap,Ben&Ben Acoustic
Himig Sana,Ben&Ben Acoustic
Hangin Sinta,Ben&Ben Acoustic
Lihim Pag-ibig,Ben&Ben Acoustic
Tamis Layo,IV of Spades (feat)
Balik Alaala,IV of Spades (feat)
Bitaw Saan,IV of Spades (feat)
Tayo Nawala,IV of Spades (feat)
Sabay Alon,IV of Spades (feat)
Talao Sulyap,IV of Spades (feat)
Sigaw Tahimik,IV of Spades (feat)
Lapis Kulay,IV of Spades (feat)
Tulay Takipsilim,IV of Spades (feat)
Sulyap Sigaw,Gyro
Buwan Gabi,Gyro
Tala Araw,Gyro
Haplos Damdamin,Gyro
Tingin Kuwento,Gyro
Pintig Kulay,Gyro
Lakad Sulyap,Gyro
Himig Sana,Gyro
Hangin Sinta,Gyro
Lihim Pag-ibig,Gyro
Tamis Layo,Neocolours
Balik Alaala,Neocolours
Bitaw Saan,Neocolours
Tayo Nawala,Neocolours
Sabay Alon,Neocolours
Talao Sulyap,Neocolours
Sigaw Tahimik,Neocolours
Lapis Kulay,Neocolours
Tulay Takipsilim,Neocolours
Sulyap Sigaw,Sponge Cola
Buwan Gabi,Sponge Cola
Tala Araw,Sponge Cola
Haplos Damdamin,Sponge Cola
Tingin Kuwento,Sponge Cola
Pintig Kulay,Sponge Cola
Lakad Sulyap,Sponge Cola
Himig Sana,Sponge Cola
Hangin Sinta,Sponge Cola
Lihim Pag-ibig,Sponge Cola
Tamis Layo,Ebe Dancel
Balik Alaala,Ebe Dancel
Bitaw Saan,Ebe Dancel
Tayo Nawala,Ebe Dancel
Sabay Alon,Ebe Dancel
Talao Sulyap,Ebe Dancel
Sigaw Tahimik,Ebe Dancel
Lapis Kulay,Ebe Dancel
Tulay Takipsilim,Ebe Dancel
Sulyap Sigaw,Levi's Band
Buwan Gabi,Levi's Band
Tala Araw,Levi's Band
Haplos Damdamin,Levi's Band
Tingin Kuwento,Levi's Band
Pintig Kulay,Levi's Band
Lakad Sulyap,Levi's Band
Himig Sana,Levi's Band
Hangin Sinta,Levi's Band
Lihim Pag-ibig,Levi's Band
Tamis Layo,Morissette
Balik Alaala,Morissette
Bitaw Saan,Morissette
Tayo Nawala,Morissette
Sabay Alon,Morissette
Talao Sulyap,Morissette
Sigaw Tahimik,Morissette
Lapis Kulay,Morissette
Tulay Takipsilim,Morissette
Sulyap Sigaw,Jason Dhakal
Buwan Gabi,Jason Dhakal
Tala Araw,Jason Dhakal
Haplos Damdamin,Jason Dhakal
Tingin Kuwento,Jason Dhakal
Pintig Kulay,Jason Dhakal
Lakad Sulyap,Jason Dhakal
Himig Sana,Jason Dhakal
Hangin Sinta,Jason Dhakal
Lihim Pag-ibig,Jason Dhakal
Tamis Layo,Keiko Necesario
Balik Alaala,Keiko Necesario
Bitaw Saan,Keiko Necesario
Tayo Nawala,Keiko Necesario
Sabay Alon,Keiko Necesario
Talao Sulyap,Keiko Necesario
Sigaw Tahimik,Keiko Necesario
Lapis Kulay,Keiko Necesario
Tulay Takipsilim,Keiko Necesario
Sulyap Sigaw,SURU
Buwan Gabi,SURU
Tala Araw,SURU
Haplos Damdamin,SURU
Tingin Kuwento,SURU
Pintig Kulay,SURU
Lakad Sulyap,SURU
Himig Sana,SURU
Hangin Sinta,SURU
Lihim Pag-ibig,SURU
Tamis Layo,Juan Miguel
Balik Alaala,Juan Miguel
Bitaw Saan,Juan Miguel
Tayo Nawala,Juan Miguel
Sabay Alon,Juan Miguel
Talao Sulyap,Juan Miguel
Sigaw Tahimik,Juan Miguel
Lapis Kulay,Juan Miguel
Tulay Takipsilim,Juan Miguel
Sulyap Sigaw,The Itchyworms
Buwan Gabi,The Itchyworms
Tala Araw,The Itchyworms
Haplos Damdamin,The Itchyworms
Tingin Kuwento,The Itchyworms
Pintig Kulay,The Itchyworms
Lakad Sulyap,The Itchyworms
Himig Sana,The Itchyworms
Hangin Sinta,The Itchyworms
Lihim Pag-ibig,The Itchyworms
Tamis Layo,IV of Spades (feat)
Balik Alaala,IV of Spades (feat)
Bitaw Saan,IV of Spades (feat)
Tayo Nawala,IV of Spades (feat)
Sabay Alon,IV of Spades (feat)
Talao Sulyap,IV of Spades (feat)
Sigaw Tahimik,IV of Spades (feat)
Lapis Kulay,IV of Spades (feat)
Tulay Takipsilim,IV of Spades (feat)
Sulyap Sigaw,December Avenue (Acoustic)
Buwan Gabi,December Avenue (Acoustic)
Tala Araw,December Avenue (Acoustic)
Haplos Damdamin,December Avenue (Acoustic)
Tingin Kuwento,December Avenue (Acoustic)
Pintig Kulay,December Avenue (Acoustic)
Lakad Sulyap,December Avenue (Acoustic)
Himig Sana,December Avenue (Acoustic)
Hangin Sinta,December Avenue (Acoustic)
Lihim Pag-ibig,December Avenue (Acoustic)
Tamis Layo,Unique Salonga (Solo)
Balik Alaala,Unique Salonga (Solo)
Bitaw Saan,Unique Salonga (Solo)
Tayo Nawala,Unique Salonga (Solo)
Sabay Alon,Unique Salonga (Solo)
Talao Sulyap,Unique Salonga (Solo)
Sigaw Tahimik,Unique Salonga (Solo)
Lapis Kulay,Unique Salonga (Solo)
Tulay Takipsilim,Unique Salonga (Solo)
Sulyap Sigaw,Zild
Buwan Gabi,Zild
Tala Araw,Zild
Haplos Damdamin,Zild
Tingin Kuwento,Zild
Pintig Kulay,Zild
Lakad Sulyap,Zild
Himig Sana,Zild
Hangin Sinta,Zild
Lihim Pag-ibig,Zild
Tamis Layo,Sud
Balik Alaala,Sud
Bitaw Saan,Sud
Tayo Nawala,Sud
Sabay Alon,Sud
Talao Sulyap,Sud
Sigaw Tahimik,Sud
Lapis Kulay,Sud
Tulay Takipsilim,Sud
Sulyap Sigaw,Ben&Ben Acoustic
Buwan Gabi,Ben&Ben Acoustic
Tala Araw,Ben&Ben Acoustic
Haplos Damdamin,Ben&Ben Acoustic
Tingin Kuwento,Ben&Ben Acoustic
Pintig Kulay,Ben&Ben Acoustic
Lakad Sulyap,Ben&Ben Acoustic
Himig Sana,Ben&Ben Acoustic
Hangin Sinta,Ben&Ben Acoustic
Lihim Pag-ibig,Ben&Ben Acoustic
Tamis Layo,IV of Spades (feat)
Balik Alaala,IV of Spades (feat)
Bitaw Saan,IV of Spades (feat)
Tayo Nawala,IV of Spades (feat)
Sabay Alon,IV of Spades (feat)
Talao Sulyap,IV of Spades (feat)
Sigaw Tahimik,IV of Spades (feat)
Lapis Kulay,IV of Spades (feat)
Tulay Takipsilim,IV of Spades (feat)
Sulyap Sigaw,Gyro
Buwan Gabi,Gyro
Tala Araw,Gyro
Haplos Damdamin,Gyro
Tingin Kuwento,Gyro
Pintig Kulay,Gyro
Lakad Sulyap,Gyro
Himig Sana,Gyro
Hangin Sinta,Gyro
Lihim Pag-ibig,Gyro
Tamis Layo,Neocolours
Balik Alaala,Neocolours
Bitaw Saan,Neocolours
Tayo Nawala,Neocolours
Sabay Alon,Neocolours
Talao Sulyap,Neocolours
Sigaw Tahimik,Neocolours
Lapis Kulay,Neocolours
Tulay Takipsilim,Neocolours
Sulyap Sigaw,Sponge Cola
Buwan Gabi,Sponge Cola
Tala Araw,Sponge Cola
Haplos Damdamin,Sponge Cola
Tingin Kuwento,Sponge Cola
Pintig Kulay,Sponge Cola
Lakad Sulyap,Sponge Cola
Himig Sana,Sponge Cola
Hangin Sinta,Sponge Cola
Lihim Pag-ibig,Sponge Cola
Tamis Layo,Ebe Dancel
Balik Alaala,Ebe Dancel
Bitaw Saan,Ebe Dancel
Tayo Nawala,Ebe Dancel
Sabay Alon,Ebe Dancel
Talao Sulyap,Ebe Dancel
Sigaw Tahimik,Ebe Dancel
Lapis Kulay,Ebe Dancel
Tulay Takipsilim,Ebe Dancel
Sulyap Sigaw,Levi's Band
Buwan Gabi,Levi's Band
Tala Araw,Levi's Band
Haplos Damdamin,Levi's Band
Tingin Kuwento,Levi's Band
Pintig Kulay,Levi's Band
Lakad Sulyap,Levi's Band
Himig Sana,Levi's Band
Hangin Sinta,Levi's Band
Lihim Pag-ibig,Levi's Band
Tamis Layo,Morissette
Balik Alaala,Morissette
Bitaw Saan,Morissette
Tayo Nawala,Morissette
Sabay Alon,Morissette
Talao Sulyap,Morissette
Sigaw Tahimik,Morissette
Lapis Kulay,Morissette
Tulay Takipsilim,Morissette
Sulyap Sigaw,Jason Dhakal
Buwan Gabi,Jason Dhakal
Tala Araw,Jason Dhakal
Haplos Damdamin,Jason Dhakal
Tingin Kuwento,Jason Dhakal
Pintig Kulay,Jason Dhakal
Lakad Sulyap,Jason Dhakal
Himig Sana,Jason Dhakal
Hangin Sinta,Jason Dhakal
Lihim Pag-ibig,Jason Dhakal
Tamis Layo,Keiko Necesario
Balik Alaala,Keiko Necesario
Bitaw Saan,Keiko Necesario
Tayo Nawala,Keiko Necesario
Sabay Alon,Keiko Necesario
Talao Sulyap,Keiko Necesario
Sigaw Tahimik,Keiko Necesario
Lapis Kulay,Keiko Necesario
Tulay Takipsilim,Keiko Necesario
Sulyap Sigaw,SURU
Buwan Gabi,SURU
Tala Araw,SURU
Haplos Damdamin,SURU
Tingin Kuwento,SURU
Pintig Kulay,SURU
Lakad Sulyap,SURU
Himig Sana,SURU
Hangin Sinta,SURU
Lihim Pag-ibig,SURU
Tamis Layo,Juan Miguel
Balik Alaala,Juan Miguel
Bitaw Saan,Juan Miguel
Tayo Nawala,Juan Miguel
Sabay Alon,Juan Miguel
Talao Sulyap,Juan Miguel
Sigaw Tahimik,Juan Miguel
Lapis Kulay,Juan Miguel
Tulay Takipsilim,Juan Miguel
Sulyap Sigaw,The Itchyworms
Buwan Gabi,The Itchyworms
Tala Araw,The Itchyworms
Haplos Damdamin,The Itchyworms
Tingin Kuwento,The Itchyworms
Pintig Kulay,The Itchyworms
Lakad Sulyap,The Itchyworms
Himig Sana,The Itchyworms
Hangin Sinta,The Itchyworms
Lihim Pag-ibig,The Itchyworms
Tamis Layo,IV of Spades (feat)
Balik Alaala,IV of Spades (feat)
Bitaw Saan,IV of Spades (feat)
Tayo Nawala,IV of Spades (feat)
Sabay Alon,IV of Spades (feat)
Talao Sulyap,IV of Spades (feat)
Sigaw Tahimik,IV of Spades (feat)
Lapis Kulay,IV of Spades (feat)
Tulay Takipsilim,IV of Spades (feat)
Sulyap Sigaw,December Avenue (Acoustic)
Buwan Gabi,December Avenue (Acoustic)
Tala Araw,December Avenue (Acoustic)
Haplos Damdamin,December Avenue (Acoustic)
Tingin Kuwento,December Avenue (Acoustic)
Pintig Kulay,December Avenue (Acoustic)
Lakad Sulyap,December Avenue (Acoustic)
Himig Sana,December Avenue (Acoustic)
Hangin Sinta,December Avenue (Acoustic)
Lihim Pag-ibig,December Avenue (Acoustic)
